position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
3574,21431,"""21431"",",Fabio,553,2716,4500,10,2,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,3,0
3575,19913,"""19913"",",Yazoo [Synth],553,2716,4005,9,2,0x8628d73d3f950abde99739ef34b6cfa10394f579,0x8628d73d3f950abde99739ef34b6cfa10394f579,3,0
3576,17345,"""17345"",",Scooby-Doo,532,2716,3985,9,2,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,3,0
3577,15177,"""15177"",",Mike Tyson,509,2716,3985,9,2,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,3,0
3578,7743,"""7743"",",ALON,532,2809,3655,9,1,0x4ef1a210a74fdfd9cc7507924e918b0f5c392b24,0x4ef1a210a74fdfd9cc7507924e918b0f5c392b24,3,0
3579,11875,"""11875"",",BTC KILLER [GFA],593,2779,3510,9,2,0xfbb073e09d84970d1efe099abbe9e626f8ff7024,0xfbb073e09d84970d1efe099abbe9e626f8ff7024,3,0
3580,13765,"""13765"",",YY,475,2716,3235,9,2,0xc81a44f14ce214c83eb883846abd489244344966,0xc81a44f14ce214c83eb883846abd489244344966,3,0
3581,21692,"""21692"",",DIAMONDSHANDS13,578,2721,3000,8,2,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,3,0
3582,24174,"""24174"",",An Duong Vuong,382,2716,2880,8,2,0xda0043131bf97d2b5eb5fc45910c962da8013766,0xda0043131bf97d2b5eb5fc45910c962da8013766,3,0
3583,18405,"""18405"",",Aapestronaut,543,2716,2685,8,2,0x66bb7c182672a4b4a1c5891b9fd708b241ef3622,0x66bb7c182672a4b4a1c5891b9fd708b241ef3622,3,0
3584,17039,"""17039"",",Luv,506,2738,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3585,17738,"""17738"",",ultrasound,548,2738,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3586,15153,"""15153"",",shrek,539,2738,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3587,21567,"""21567"",",Yong,521,2738,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3588,8836,"""8836"",",Aave Maria!,522,2809,2095,7,1,0xddf62985460d782f76adfbc1e36b08aaed605cfd,0xddf62985460d782f76adfbc1e36b08aaed605cfd,3,0
3589,1565,"""1565"",",vitamin butane,717,2716,1035,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3590,2649,"""2649"",",Severus Snape,511,2720,3780,9,1,0x60c4ae0ee854a20ea7796a9678090767679b30fc,0x60c4ae0ee854a20ea7796a9678090767679b30fc,3,0
3591,7031,"""7031"",",RAMBO,526,2719,3710,9,1,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
3592,7178,"""7178"",",Victor Wembanyama,377,2715,3220,9,1,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,3,0
3593,9280,"""9280"",",NUMBER OF THE BEAST,528,2715,2955,8,1,0x518a8463ffff4435431d889e507fa1a9e1c34502,0x518a8463ffff4435431d889e507fa1a9e1c34502,3,0
3594,21577,"""21577"",",xDai,511,2737,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3595,19905,"""19905"",",inflation,517,2737,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3596,1563,"""1563"",",charlie munger,549,2715,400,3,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3597,16748,"""16748"",",DIAMONDSHANDS9,651,2719,10125,15,2,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,3,0
3598,4033,"""4033"",",AKKU GOTCHIM,491,2714,4025,9,1,0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,3,0
3599,2517,"""2517"",",code,566,2714,2490,8,1,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,3,0
3600,10376,"""10376"",",nikes,554,2714,1510,6,2,0x72db34299d4bb489993a49822708ce692cca3eb2,0x72db34299d4bb489993a49822708ce692cca3eb2,3,0
3601,7540,"""7540"",",banshee,520,2714,1025,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3602,6771,"""6771"",",space ghost,558,2714,1025,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3603,7543,"""7543"",",peter schiff,541,2714,1025,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3604,7539,"""7539"",",warren buffett,514,2714,1025,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3605,1564,"""1564"",",peeves,600,2714,400,3,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
3606,2057,"""2057"",",Blue Moon,751,2713,4775,10,1,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
3607,6054,"""6054"",",Bling Gotchi,531,2713,4475,10,1,0x2848b9f2d4faebaa4838c41071684c70688b455d,0x2848b9f2d4faebaa4838c41071684c70688b455d,3,0
3608,19265,"""19265"",",Hammer,537,2713,3390,9,2,0x3c25ae7dae49b3c24439549928bfc1df60a0ad20,0x3c25ae7dae49b3c24439549928bfc1df60a0ad20,3,0
3609,9811,"""9811"",",Ciri,533,2806,2940,8,1,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,3,0
3610,7509,"""7509"",",Yeah,498,2713,2535,8,1,0x07a009e9e98649bff954cf3032ceb3e21e020f49,0x07a009e9e98649bff954cf3032ceb3e21e020f49,3,0
3611,14573,"""14573"",",Phil Ivey,531,2713,1910,7,2,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,3,0
3612,899,"""899"",",LIQUIDATOR,535,2806,1230,5,1,0x9cca9d2aad42623b068017da87a8689aa80b9e76,0x9cca9d2aad42623b068017da87a8689aa80b9e76,3,0
3613,15781,"""15781"",",Bipbop,510,2712,3790,9,2,0x14e495f1c792185c4491b2317a02f3c3c6775c82,0x14e495f1c792185c4491b2317a02f3c3c6775c82,3,0
3614,13480,"""13480"",",ZombieShepherd.eth,561,2712,3235,9,2,0x30dcca068f593cbffb5affe8a89f35ae49614972,0x30dcca068f593cbffb5affe8a89f35ae49614972,3,0
3615,6855,"""6855"",",Space Marine,525,2805,2950,8,1,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,3,0
3616,19819,"""19819"",",Smokey McPot,533,2711,4545,10,2,0xfe698c212526f15cc25af671beba14aac309457f,0xfe698c212526f15cc25af671beba14aac309457f,3,0
