position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
6201,16371,"""16371"",",USDC.Jewelz,474,2394,2630,8,2,0x2127aa7265d573aa467f1d73554d17890b872e76,0x2127aa7265d573aa467f1d73554d17890b872e76,3,0
6202,20311,"""20311"",",Jazz,528,1597,2630,8,2,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,3,0
6203,1339,"""1339"",",Slinky,476,1767,2630,8,1,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,3,0
6204,8042,"""8042"",",Taylor,554,2212,2630,8,1,0x60c4ae0ee854a20ea7796a9678090767679b30fc,0x60c4ae0ee854a20ea7796a9678090767679b30fc,3,0
6205,12822,"""12822"",",Cortex,519,779,2630,8,2,0x8ff077d2a138c2f6bd5de99d91be50ce4322f312,0x8ff077d2a138c2f6bd5de99d91be50ce4322f312,3,0
6206,4291,"""4291"",",NomiChef,443,1848,2630,8,1,0x1279a8132c775ede3e738cc2a753ffe47d009353,0x1279a8132c775ede3e738cc2a753ffe47d009353,3,0
6207,11008,"""11008"",",GFA_FiFoOoO#8782,582,2100,2628,8,2,0x1a08b4d6497fa6d5970bd8f6c72bc5fbc8dd500e,0x1a08b4d6497fa6d5970bd8f6c72bc5fbc8dd500e,3,0
6208,1847,"""1847"",",Blaazed,651,1824,2625,8,1,0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,3,0
6209,21249,"""21249"",",Gotchi Hero #3,596,2960,2625,8,2,0xaf568b4acab91a8119994c69b86648271346796d,0xaf568b4acab91a8119994c69b86648271346796d,3,0
6210,4131,"""4131"",",Casper FFG,516,988,2625,8,1,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,3,0
6211,13646,"""13646"",",Shir0,507,1946,2625,8,2,0xbedb7059937d6e9562b68a8b40fb3012d4b1e0a0,0xbedb7059937d6e9562b68a8b40fb3012d4b1e0a0,3,0
6212,6271,"""6271"",",Chloerella,520,3,2625,8,1,0x78ec7e48f3914b3c529a72e3a20275621ade8a80,0x78ec7e48f3914b3c529a72e3a20275621ade8a80,3,0
6213,23242,"""23242"",",Polygon zkEVM,506,1351,2625,8,2,0x2faf55a544c5f73666438bc185aecc9d685e6e3c,0x2faf55a544c5f73666438bc185aecc9d685e6e3c,3,0
6214,7305,"""7305"",",o_OG,451,2852,2625,8,1,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
6215,8732,"""8732"",",unicaagotchi,503,861,2625,8,1,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,3,0
6216,13704,"""13704"",",Onetoo,512,3,2625,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6217,16585,"""16585"",",Rar-rar,542,3,2625,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6218,22858,"""22858"",",A$AP Ferg,516,2556,2625,8,2,0x346e7d415382b91905080ccdae6e5147866a6561,0x346e7d415382b91905080ccdae6e5147866a6561,3,0
6219,1699,"""1699"",",Avg Joe,329,93,2625,8,1,0x39292e0157ef646cc9ea65dc48f8f91cae009eae,0x39292e0157ef646cc9ea65dc48f8f91cae009eae,3,0
