position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
5269,22819,"""22819"",",Animeth,541,2766,4005,9,2,0x071d217637b6322a7faac6895a9eb00e529d3424,0x071d217637b6322a7faac6895a9eb00e529d3424,3,0
5270,19317,"""19317"",",Foraker,541,2734,4130,10,2,0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,3,26967500000000002000
5271,6385,"""6385"",",Anon,541,2738,3890,9,1,0x60c4ae0ee854a20ea7796a9678090767679b30fc,0x60c4ae0ee854a20ea7796a9678090767679b30fc,3,0
5272,1433,"""1433"",",Don Radoni,541,2812,3320,9,1,0xddf62985460d782f76adfbc1e36b08aaed605cfd,0xddf62985460d782f76adfbc1e36b08aaed605cfd,3,0
5273,14582,"""14582"",",Failed Transaction,541,2718,2890,8,2,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,3,33537499999999999000
5274,23791,"""23791"",",Cowboy Joe,541,2718,3930,9,2,0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,3,0
5275,7543,"""7543"",",peter schiff,541,2714,1025,5,1,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,0xade1dc00a43079c27b96c025a3ffa113a3f98ecd,3,0
5276,7735,"""7735"",",Gaia,541,2685,3645,9,1,0x60c4ae0ee854a20ea7796a9678090767679b30fc,0x60c4ae0ee854a20ea7796a9678090767679b30fc,3,0
5277,16906,"""16906"",",metagotchi,541,2673,2000,7,2,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,3,0
5278,20407,"""20407"",",Olygotchi,541,2664,4235,10,2,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,3,0
5279,2042,"""2042"",",Rasta Gonna Make It,541,2741,1575,6,1,0x934dff4d5e1a5138d9863f38ab959b07046dba45,0x934dff4d5e1a5138d9863f38ab959b07046dba45,3,0
5280,18389,"""18389"",",Otterpanda's Ghost,541,2646,1070,5,2,0x01f010a5e001fe9d6940758ea5e8c777885e351e,0x01f010a5e001fe9d6940758ea5e8c777885e351e,3,0
5281,6015,"""6015"",",Gatorade,541,2639,3960,9,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
5282,13219,"""13219"",",KOOLAADO,541,2634,3475,9,2,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,3,11285000000000000000
5283,12127,"""12127"",",Bigstar,541,2618,3570,9,2,0x07a009e9e98649bff954cf3032ceb3e21e020f49,0x07a009e9e98649bff954cf3032ceb3e21e020f49,3,0
5284,4868,"""4868"",",CHITTI,541,2637,4045,9,1,0x3bd59ed16c462b4464091830dab828dce079076f,0x3bd59ed16c462b4464091830dab828dce079076f,3,0
5285,21067,"""21067"",",FOXY GOTCHI,541,2540,2630,8,2,0x4eb172821b5bc013269c4f6f6204f092d44197ec,0x4eb172821b5bc013269c4f6f6204f092d44197ec,3,0
5286,18018,"""18018"",",REALM BEAST,541,2534,3435,9,2,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,3,0
5287,4129,"""4129"",","Trottr, The Horse",541,2623,1895,7,1,0xf8f94c0733a28919dcfa6c52668c688234359d88,0xf8f94c0733a28919dcfa6c52668c688234359d88,3,0
5288,14357,"""14357"",",Christopher Hitchens,541,2538,2825,8,2,0x4be9c62014789de188d8379aff628f279e4993b2,0x4be9c62014789de188d8379aff628f279e4993b2,3,0
5289,8582,"""8582"",",Fae,541,2522,4015,9,1,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
5290,21177,"""21177"",",Jin Sakai,541,2560,2875,8,2,0xa64f7eb2e0888ebfee31f7bccbe86555c51cfad3,0xa64f7eb2e0888ebfee31f7bccbe86555c51cfad3,3,0
5291,15032,"""15032"",",Lil' Fifty,541,2514,2800,8,2,0xa2faa3405a734c04ae713aaa837e6cecc2caee9f,0xa2faa3405a734c04ae713aaa837e6cecc2caee9f,3,0
5292,12429,"""12429"",",From Russia With Love,541,2508,4280,10,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
5293,12117,"""12117"",",SPACE GAMER PUNK,541,2481,2200,7,2,0x4572192ed1dee5fd0f8f07269be4ef3e3e270715,0x4572192ed1dee5fd0f8f07269be4ef3e3e270715,3,0
5294,21703,"""21703"",",autism,541,2474,4285,10,2,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
5295,23642,"""23642"",",Sparkie,541,2473,4285,10,2,0x2848b9f2d4faebaa4838c41071684c70688b455d,0x2848b9f2d4faebaa4838c41071684c70688b455d,3,0
5296,17746,"""17746"",",Geralt of Rivia,541,2541,2170,7,2,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,3,0
5297,12723,"""12723"",",Sol Invictus,541,2405,4000,9,2,0x852271883ed42cc3f9d9559b05ab4784fc768e93,0x852271883ed42cc3f9d9559b05ab4784fc768e93,3,0
5298,10926,"""10926"",",Blizzard,541,2380,4265,10,2,0xe23da0be88c9b56c815c0525e5c1c687a99a8def,0xe23da0be88c9b56c815c0525e5c1c687a99a8def,3,12542500000000000000
5299,17633,"""17633"",",UNCOMMONIST,541,2459,2910,8,2,0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,3,0
5300,23495,"""23495"",",aave eyes,541,2363,870,5,2,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,3,0
5301,1949,"""1949"",",Glitter Girl,541,2358,3090,8,1,0xcd8eddd0a27047d53d65f23d483a8a169d54526b,0xcd8eddd0a27047d53d65f23d483a8a169d54526b,3,0
5302,22327,"""22327"",",kayle,541,2385,1450,6,2,0x710a24b16ef692c1563e77afc3f94b758921aa62,0x710a24b16ef692c1563e77afc3f94b758921aa62,3,0
5303,17177,"""17177"",",Censored.sales,541,2346,1170,5,2,0x6fb7c9970372a645bad75408b021e364d134e1bf,0x6fb7c9970372a645bad75408b021e364d134e1bf,3,23237500000000002000
5304,13696,"""13696"",",Glitter Girl 003,541,2331,3090,8,2,0xcd8eddd0a27047d53d65f23d483a8a169d54526b,0xcd8eddd0a27047d53d65f23d483a8a169d54526b,3,0
5305,14225,"""14225"",",Poncha,541,2418,2880,8,2,0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,3,0
5306,19701,"""19701"",",Oppenheimer,541,2254,2910,8,2,0xe88632728ed377f556cb964e6f670f6017d497e4,0xe88632728ed377f556cb964e6f670f6017d497e4,3,0
5307,22693,"""22693"",",Icing On The Cake,541,2235,4050,10,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
5308,24638,"""24638"",",Brotato,541,2231,3650,9,2,0xd281f988242c900d67ff2aafabe683b8004ee778,0xd281f988242c900d67ff2aafabe683b8004ee778,3,10395000000000000000
5309,12413,"""12413"",",sleeper agent,541,2177,3705,9,2,0x579361d2636152df34db1d6dfd343f5037ddc71d,0x579361d2636152df34db1d6dfd343f5037ddc71d,3,3052500000000000000
5310,24389,"""24389"",",problematic,541,2261,340,3,2,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xf517639a8872e756ac98d3c65507d2ebc25cc032,3,0
5311,2773,"""2773"",",Thaave The Aaveger,541,2247,565,4,1,0xb60dd5f030b68beb38fea0c414771acda899fcaf,0xb60dd5f030b68beb38fea0c414771acda899fcaf,3,0
5312,21136,"""21136"",",Tonks,541,2155,2220,7,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
5313,19278,"""19278"",",GOTCHI KWEEN,541,2140,2390,7,2,0x36613eab0ed4c9d0f5abf7f8cfea819f84b9610c,0x36613eab0ed4c9d0f5abf7f8cfea819f84b9610c,3,0
5314,20558,"""20558"",",AANUNAAKI,541,2131,1040,5,2,0xb652158f67b9fb39c29412d6f8e1c563ff6724f2,0xb652158f67b9fb39c29412d6f8e1c563ff6724f2,3,0
5315,22936,"""22936"",",MORNING AFTER,541,2214,3060,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
5316,9578,"""9578"",",7 VTD,541,2113,3920,9,1,0xf1b2caf073b70dca2bf8d540670abc9d7cc76882,0xf1b2caf073b70dca2bf8d540670abc9d7cc76882,3,0
5317,22356,"""22356"",",Joey Quinn,541,2080,2520,8,2,0x69800c3279115d92523ae66261600c6193e25950,0x69800c3279115d92523ae66261600c6193e25950,3,0
5318,16842,"""16842"",",Broke Landowner,541,1980,1480,6,2,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,3,0
5319,11621,"""11621"",",Captain Goob,541,2065,1750,6,2,0xc2053036ed1dfd9cbb4019ea22621308674ce925,0xc2053036ed1dfd9cbb4019ea22621308674ce925,3,0
5320,18573,"""18573"",",Bubble Up,541,1923,1000,5,2,0x8fdeffaf8fa2b3754da2268e626ea1f3733ee214,0x8fdeffaf8fa2b3754da2268e626ea1f3733ee214,3,0
5321,2107,"""2107"",",H1 RARE AAVE 516 RARITY,541,1828,4115,10,1,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
5322,16043,"""16043"",",kenki,541,1764,590,4,2,0x9b5416219dc491519cdf4523c0c2ed290b780a9f,0x9b5416219dc491519cdf4523c0c2ed290b780a9f,3,0
5323,22309,"""22309"",",NJAL,541,1757,4125,10,2,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
5324,192,"""192"",",JUNKFOOD,541,1720,3510,9,1,0x87cdacbec845896b11d449884b7430b89060bba5,0x87cdacbec845896b11d449884b7430b89060bba5,3,0
5325,22061,"""22061"",",Sophiaa,541,1631,2605,8,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
5326,3166,"""3166"",",PixelSensei,541,1699,45,1,1,0x860980abad6267c6dd35d8b1c1b14fa6741db3a6,0x860980abad6267c6dd35d8b1c1b14fa6741db3a6,3,0
5327,12077,"""12077"",",PVP 511 BRS+1150 KIN/MYTH,541,1696,1250,6,2,0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,3,0
5328,14261,"""14261"",",Spudz,541,1694,2615,8,2,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,3,0
5329,12135,"""12135"",",Dr Stranz,541,1687,2340,7,2,0x90864c9a0094c1bc450d4b8b439fdc844ce7375f,0x90864c9a0094c1bc450d4b8b439fdc844ce7375f,3,0
